name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,board,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID,Custom,Voucher,Artist
"Spider-Woman, Stunning Savior",2,"Legendary Creature - Spider Human Hero",UW,"spm","152",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Humans: Enabler","",153547,false,false,"Justyna Dura"
"Stoneforge Mystic",2,"Creature - Kor Artificer",W,"wwk","20",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Blink: Payoff;Strict Equipment: Glue","",35737,false,false,"Mike Bierek"
"Adeline, Resplendent Cathar",3,"Legendary Creature - Human Knight",W,"mid","1",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Attack: Glue;Strict Humans: Enabler;Strict Power Matters: Enabler;Strict Tokens: Enabler","",92916,false,false,"Bryan Sola"
"Wall of Omens",2,"Creature - Wall",W,"roe","53",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Blink: Payoff;Strict Draw: Enabler","",36526,false,false,"James Paick"
"Phelia, Exuberant Shepherd",2,"Legendary Creature - Dog",W,"mh3","40",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Attack: Enabler;Strict Blink: Enabler;Strict Counters: Enabler","",126097,false,false,"Rudy Siswanto"
"Aven Interrupter",3,"Creature - Bird Rogue",W,"otj","4",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Blink: Payoff;Strict Taxes: Enabler","",123919,false,false,"Daniel Romanovsky"
"Hymn to Tourach",2,"Sorcery",B,"fem","38a",common,null,Not Owned,Non-foil,mainboard,false,,,"Strict Noncreature: Enabler","",-1,false,false,"Susan Van Camp"
"Skyclave Apparition",3,"Creature - Kor Spirit",W,"znr","39",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Blink: Payoff","",83023,false,false,"Donato Giancola"
"Endless Foot Assault",3,"Enchantment",W,"tmc","8",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Attack: Glue;Strict Enchantments: Enabler;Strict Noncreature: Enabler;Strict Tokens: Enabler","",147345,false,false,"Ryan Valle"
"Delney, Streetwise Lookout",3,"Legendary Creature - Human Scout",W,"mkm","12",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Strict Attack: Payoff;Strict Blink: Payoff;Strict Combat Damage: Payoff;Strict Humans: Enabler","",121512,false,false,"Darren Tan"
"Flickerwisp",3,"Creature - Elemental",W,"eve","6",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Strict Blink: Enabler;Strict Blink: Payoff","",29970,false,false,"Jeremy Enecio"
"Thraben Inspector",1,"Creature - Human Soldier",W,"inr","301",common,null,Not Owned,Foil,mainboard,false,,,"Function: Value;Strict Blink: Payoff;Strict Humans: Enabler","",135314,false,false,"Aurore Folny"
"Welcoming Vampire",3,"Creature - Vampire",W,"vow","46",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Blink: Payoff;Strict Draw: Enabler","",94392,false,false,"Lorenzo Mastroianni"
"Enduring Innocence",3,"Enchantment Creature - Sheep Glimmer",W,"dsk","6",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Blink: Payoff;Strict Dies: Payoff;Strict Draw: Enabler;Strict Enchantments: Enabler;Strict Lifegain: Enabler","",130143,false,false,"Liiga Smilshkalne"
"Overlord of the Mistmoors",7,"Enchantment Creature - Avatar Horror",W,"dsk","23",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Attack: Enabler;Strict Blink: Payoff;Strict Enchantments: Enabler;Strict Power 4+: Enabler;Strict Power Matters: Enabler;Strict Tokens: Enabler","",130177,false,false,"Steven Belledin"
"Bronzebeak Foragers",4,"Creature - Dinosaur",W,"lcc","69",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Blink: Payoff;Strict Lifegain: Enabler","",119142,false,false,"Brian Valeza"
"Mondrak, Glory Dominus",4,"Legendary Creature - Phyrexian Horror",W,"one","23",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Strict Power 4+: Enabler;Strict Power Matters: Enabler;Strict Tokens: Payoff","",106261,false,false,"Jason A. Engle"
"Magma Opus",8,"Instant",RU,"stx","203",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Function: Value;Strict Artifacts: Enabler;Strict Damage: Enabler;Strict Draw: Enabler;Strict Noncreature: Enabler;Strict Power 4+: Enabler;Strict Tokens: Enabler","",88913,false,false,"Liiga Smilshkalne"
"Beza, the Bounding Spring",4,"Legendary Creature - Elemental Elk",W,"blb","2",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Artifacts: Enabler;Strict Blink: Payoff;Strict Draw: Enabler;Strict Lifegain: Enabler;Strict Power 4+: Enabler;Strict Power Matters: Enabler;Strict Tokens: Enabler","",129249,false,false,"Martin Wittfooth"
"Palace Jailer",4,"Creature - Human Soldier",W,"cn2","18",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Function: Value;Strict Blink: Payoff;Strict Humans: Enabler","",-1,false,false,"David Palumbo"
"Rick, Steadfast Leader",4,"Legendary Creature - Human Soldier",W,"sld","143",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Strict Humans: Enabler;Strict Humans: Payoff","",84760,false,false,"Jake Murray"
"Ultima",5,"Sorcery",W,"pss5","1",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Noncreature: Enabler","",-1,false,false,"Kotakan"
"Cosmogrand Zenith",3,"Creature - Human Soldier",W,"eoe","9",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Counters: Enabler;Strict Humans: Enabler;Strict Tokens: Enabler","",142631,false,false,"Anna Steinbauer"
"Phyrexian Metamorph",4,"Artifact Creature - Phyrexian Shapeshifter",U,"nph","42",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Artifacts: Enabler","",39734,false,false,"Jana Schirmer & Johannes Voss"
"Glimmer Lens",2,"Artifact - Equipment",W,"onc","6",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Artifacts: Enabler;Strict Draw: Enabler;Strict Equipment: Enabler;Strict Noncreature: Enabler","",106875,false,false,"Sidharth Chaturvedi"
"Blade Splicer",3,"Creature - Phyrexian Human Artificer",W,"nph","4",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Blink: Payoff;Strict Humans: Enabler;Strict Tokens: Enabler","",39996,false,false,"Greg Staples"
"Hero of Bladehold",4,"Creature - Human Knight",W,"mbs","8",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Attack: Enabler;Strict Attack: Glue;Strict Humans: Enabler;Strict Tokens: Enabler","",39539,false,false,"Austin Hsu"
"Aerial Extortionist",5,"Creature - Bird Soldier",W,"ncc","11",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Function: Value;Strict Blink: Payoff;Strict Combat Damage: Enabler;Strict Draw: Enabler;Strict Power 4+: Enabler;Strict Power Matters: Enabler","",-1,false,false,"Deruchenko Alexander"
"Dion, Bahamut's Dominant",4,"Legendary Creature - Human Noble Knight",W,"fin","16",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Function: Value;Strict Blink: Payoff;Strict Counters: Enabler;Strict Humans: Enabler;Strict Tokens: Enabler","",140951,false,false,"Kevin Glint"
"Spirited Companion",2,"Enchantment Creature - Dog",W,"neo","38",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Blink: Payoff;Strict Draw: Enabler;Strict Enchantments: Enabler","",96990,false,false,"Ilse Gort"
"Bane of Progress",6,"Creature - Elemental",G,"c13","137",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Blink: Payoff;Strict Counters: Enabler;Strict Ramp: Glue","",51420,false,false,"Lars Grant-West"
"Demolisher Spawn",7,"Enchantment Creature - Horror",G,"dsc","31",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Attack: Enabler;Strict Enchantments: Enabler;Strict Graveyard Types: Payoff;Strict Power 4+: Enabler;Strict Power Matters: Enabler;Strict Ramp: Glue","",131383,false,false,"Nino Is"
"Heritage Reclamation",2,"Instant",G,"tdm","145",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Function: Value;Strict Draw: Enabler;Strict Noncreature: Enabler","",139247,false,false,"Konstantin Porubov"
"Vaultborn Tyrant",7,"Creature - Dinosaur",G,"big","20",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Blink: Payoff;Strict Dies: Payoff;Strict Draw: Enabler;Strict Lifegain: Enabler;Strict Power 4+: Enabler;Strict Power 4+: Payoff;Strict Power Matters: Enabler;Strict Ramp: Glue;Strict Tokens: Enabler","",125401,false,false,"Loïc Canavaggia"
"Nyxborn Hydra",1,"Enchantment Creature - Hydra",G,"mh3","164",common,null,Not Owned,Non-foil,mainboard,false,,,"Strict Counters: Enabler;Strict Counters: Payoff;Strict Enchantments: Enabler","",126345,false,false,"Vincent Christiaens"
"Super Combo",2,"Sorcery",G,"tmc","34",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Damage: Enabler;Strict Noncreature: Enabler;Strict Power Matters: Payoff","",147397,false,false,"Caroline Gariba"
"Berserk",1,"Instant",G,"lea","185",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Noncreature: Enabler;Strict Power Matters: Payoff","",-1,false,false,"Dan Frazier"
"Lizard, Connors's Curse",4,"Legendary Creature - Lizard Villain",G,"spm","106",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Blink: Payoff;Strict Power 4+: Enabler;Strict Power Matters: Enabler","",153453,false,false,"Steve Prescott"
"Bloodbraid Challenger",5,"Creature - Elf Berserker",GR,"m3c","122",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Graveyard Cast: Payoff;Strict Power 4+: Enabler;Strict Power Matters: Enabler","",127443,false,false,"Lie Setiawan"
"Sledge-Class Seedship",3,"Artifact - Spacecraft",G,"eoe","208",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Artifacts: Enabler;Strict Attack: Enabler;Strict Noncreature: Enabler","",143029,false,false,"Leon Tukker"
"Icetill Explorer",4,"Creature - Insect Scout",G,"eoe","192",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Graveyard Cast: Enabler;Strict Graveyard Cast: Payoff;Strict Graveyard Types: Enabler;Strict Landfall: Enabler;Strict Landfall: Payoff;Strict Ramp: Enabler;Strict Reanimator: Enabler","",142997,false,false,"Warren Mahy"
"Surrak, Elusive Hunter",3,"Legendary Creature - Human Warrior",G,"tdm","161",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Draw: Enabler;Strict Humans: Enabler;Strict Power 4+: Enabler;Strict Power Matters: Enabler","",139281,false,false,"Dan Murayama Scott"
"Rocksteady, Mutant Marauder",3,"Legendary Creature - Rhino Mutant",G,"tmc","33",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Blink: Payoff;Strict Counters: Enabler","",147395,false,false,"Kieran Yanner"
"Tireless Tracker",3,"Creature - Human Scout",G,"soi","233",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Counters: Enabler;Strict Humans: Enabler;Strict Landfall: Payoff;Strict Sacrifice: Payoff","",60320,false,false,"Eric Deschamps"
"Augur of Autumn",3,"Creature - Human Druid",G,"mid","168",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Humans: Enabler","",93318,false,false,"Billy Christian"
"Eternal Witness",3,"Creature - Human Shaman",G,"5dn","86",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Blink: Payoff;Strict Humans: Enabler","",20856,false,false,"Terese Nielsen"
"Return of the Wildspeaker",5,"Instant",G,"eld","172",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Noncreature: Enabler;Strict Power Matters: Payoff","",78484,false,false,"Chris Rallis"
"Kodama of the West Tree",3,"Legendary Creature - Spirit",G,"neo","199",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Combat Damage: Enabler;Strict Equipment: Payoff;Strict Five-Color Domain: Enabler;Strict Landfall: Enabler;Strict Ramp: Enabler","",97340,false,false,"Daarken"
"Nissa, Who Shakes the World",5,"Legendary Planeswalker - Nissa",G,"war","169",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Counters: Enabler;Strict Noncreature: Enabler;Strict Ramp: Enabler","",71944,false,false,"Chris Rallis"
"Eladamri, Korvecdal",3,"Legendary Creature - Elf Warrior",G,"mh3","149",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value","",126315,false,false,"Zoltan Boros"
"Trickster's Elk",3,"Enchantment Creature - Elk",G,"mh3","175",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Enchantments: Enabler","",126367,false,false,"Karl Kopinski"
"Selvala, Heart of the Wilds",3,"Legendary Creature - Elf Scout",G,"cn2","70",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Blink: Payoff;Strict Draw: Enabler;Strict Power Matters: Payoff","",-1,false,false,"Tyler Jacobson"
"Satyr Wayfinder",2,"Creature - Satyr",G,"bng","136",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Blink: Payoff","",51643,false,false,"Steve Prescott"
"Wild Growth",1,"Enchantment - Aura",G,"lea","229",common,null,Not Owned,Non-foil,mainboard,false,,,"Strict Enchantments: Enabler;Strict Noncreature: Enabler","",-1,false,false,"Mark Poole"
"Town Greeter",2,"Creature - Human Citizen",G,"fin","209",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Blink: Payoff;Strict Graveyard Cast: Enabler;Strict Graveyard Types: Enabler;Strict Humans: Enabler;Strict Lifegain: Enabler;Strict Reanimator: Enabler","",141361,false,false,"Hayaken-Sarena"
"Arbor Elf",1,"Creature - Elf Druid",G,"wwk","95",common,null,Not Owned,Non-foil,mainboard,false,,,"","",35773,false,false,"rk post"
"Arwen, Weaver of Hope",3,"Legendary Creature - Elf Noble",G,"ltc","35",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Counters: Enabler","",113102,false,false,"Axel Sauerwald"
"Birds of Paradise",1,"Creature - Bird",G,"blc","81",rare,null,Not Owned,Foil,mainboard,false,,,"Strict Five-Color Domain: Glue;Strict Ramp: Enabler","",128283,false,false,"Javier Charro"
"Innkeeper's Talent",2,"Enchantment - Class",G,"blb","180",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Counters: Enabler;Strict Enchantments: Enabler;Strict Noncreature: Enabler","",129605,false,false,"Alix Branwyn"
"Monstrous Emergence",2,"Sorcery",G,"dsk","191",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Damage: Enabler;Strict Noncreature: Enabler;Strict Power Matters: Payoff","",130513,false,false,"Loïc Canavaggia"
"Malevolent Rumble",2,"Sorcery",G,"mh3","161",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Noncreature: Enabler;Strict Ramp: Enabler;Strict Tokens: Enabler","",126339,false,false,"Néstor Ossandón Leal"
"Hallowed Fountain",0,"Land - Plains Island",,"dis","174",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Five-Color Domain: Enabler","",24001,false,false,"Rob Alexander"
"Elvish Mystic",1,"Creature - Elf Druid",G,"m14","169",common,null,Not Owned,Non-foil,mainboard,false,,,"Strict Ramp: Enabler","",49499,false,false,"Wesley Burt"
"Ninja of the Deep Hours",4,"Creature - Human Ninja",U,"bok","44",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Function: Value;Strict Combat Damage: Enabler;Strict Draw: Enabler;Strict Humans: Enabler","",21827,false,false,"Dan Murayama Scott"
"Noble Hierarch",1,"Creature - Human Druid",G,"con","87",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Humans: Enabler;Strict Ramp: Enabler","",31745,false,false,"Mark Zug"
"Haywire Mite",1,"Artifact Creature - Insect",,"bro","199",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Artifacts: Enabler;Strict Dies: Payoff;Strict Lifegain: Enabler","",105018,false,false,"Izzy"
"Rishkar's Expertise",6,"Sorcery",G,"aer","123",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Noncreature: Enabler;Strict Power Matters: Payoff","",62805,false,false,"Magali Villeneuve"
"Ouroboroid",4,"Creature - Plant Wurm",G,"eoe","201",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Strict Counters: Enabler;Strict Power Matters: Payoff","",143015,false,false,"Samuel Perin"
"Bristly Bill, Spine Sower",2,"Legendary Creature - Plant Druid",G,"otj","157",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Strict Counters: Enabler;Strict Counters: Payoff;Strict Landfall: Payoff","",124225,false,false,"Daniel Zrom"
"Level Up",2,"Enchantment - Aura",G,"tmc","31",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Attack: Enabler;Strict Blink: Payoff;Strict Counters: Enabler;Strict Counters: Payoff;Strict Draw: Enabler;Strict Enchantments: Enabler;Strict Noncreature: Enabler","",147391,false,false,"Narendra Bintara Adi"
"Kogla, the Titan Ape",6,"Legendary Creature - Ape",G,"iko","162",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Attack: Enabler;Strict Blink: Payoff;Strict Power 4+: Enabler;Strict Power Matters: Enabler;Strict Ramp: Glue","",80333,false,false,"Chris Rahn"
"Hunter's Talent",2,"Enchantment - Class",G,"blb","179",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Function: Value;Strict Blink: Payoff;Strict Damage: Enabler;Strict Draw: Enabler;Strict Enchantments: Enabler;Strict Noncreature: Enabler;Strict Power 4+: Payoff;Strict Power Matters: Payoff","",129603,false,false,"Kisung Koh"
"Scythecat Cub",2,"Creature - Cat",G,"j25","24",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Counters: Enabler;Strict Counters: Payoff;Strict Landfall: Payoff","",132840,false,false,"Gabor Szikszai"
"Mossborn Hydra",3,"Creature - Elemental Hydra",G,"fdn","107",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Counters: Enabler;Strict Counters: Payoff;Strict Landfall: Payoff","",133782,false,false,"Monztre"
"Loran of the Third Path",3,"Legendary Creature - Human Artificer",W,"bro","12",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Function: Value;Strict Blink: Payoff;Strict Draw: Enabler;Strict Humans: Enabler","",104642,false,false,"Steven Belledin"
"Parting Gust",2,"Instant",W,"blb","24",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Blink: Enabler;Strict Counters: Enabler;Strict Noncreature: Enabler","",129293,false,false,"Nils Hamm"
"Reanimate",1,"Sorcery",B,"tmp","151",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Noncreature: Enabler;Strict Reanimator: Payoff","",9989,false,false,"Robert Bliss"
"Exalted Sunborn",5,"Creature - Angel Wizard",W,"eoe","15",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Strict Lifegain: Enabler;Strict Power 4+: Enabler;Strict Power Matters: Enabler;Strict Tokens: Payoff","",142643,false,false,"Scott M. Fischer"
"Extract Brain",2,"Sorcery",BU,"afc","46",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Noncreature: Enabler;Strict Opponent Cards: Enabler","",-1,false,false,"Nicholas Gregory"
"Dark Ritual",1,"Instant",B,"lea","98",common,null,Not Owned,Non-foil,mainboard,false,,,"Strict Noncreature: Enabler;Strict Ramp: Enabler","",-1,false,false,"Sandra Everingham"
"The Fire Nation Drill",4,"Legendary Artifact - Vehicle",B,"tla","98",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Artifacts: Enabler;Strict Blink: Payoff;Strict Noncreature: Enabler","",144676,false,false,"Brandon L. Hunt"
"Flare of Malice",4,"Instant",B,"mh3","95",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Dies: Enabler;Strict Noncreature: Enabler;Strict Sacrifice: Enabler","",126207,false,false,"David Palumbo"
"Dismember",3,"Instant",B,"nph","57",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Noncreature: Enabler","",39944,false,false,"Terese Nielsen"
"Scavenger Regent",4,"Creature - Dragon",B,"tdm","90",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Power 4+: Enabler;Strict Power Matters: Enabler","",139131,false,false,"John Tedrick"
